# Verb vocabulary harvested from a corpus of interactive fiction.
#
# Regenerate:
#   verb-synonyms-gen harvest --corpus stories --corpus unit_tests \
#       --wordnet <WordNet-3.0/dict> --freq <12dicts/Lemmatized/2+2+3frq.txt> -o …
#
# Tab-separated: spelling, the number of stories whose parser accepts it, and
# the WordNet verb lemma to expand it under (empty when WordNet has no verb
# entry, which is most of the abbreviations, magic words and game-specific
# actions).  A spelling containing a space is a verb plus a literal word from
# one of its syntax lines — `turn on`, `pick up` — which is how English
# lexicalises them and how a thesaurus indexes them, even though a dictionary
# can only hold the head word.
#
# These are the STORIES' OWN spellings and are ground truth: a suggestion the
# parser would reject is worthless.  An inflected spelling is dropped only when
# every story that accepts it also accepts its base form.
#
# 119 stories read; 10023 spellings.
aaaaah	1	
aaaah	1	
aaah	1	
aaieee	1	
aaieee at	1	
aaieee to	1	
abando	1	
abando from	1	
abandon	1	abandon
abandon dead	1	
abandon down	1	
abandon from	1	
abandon in	1	
abandon on	1	
abandon over	1	
abandon to	1	
abeam	1	
abeam port	1	
abeam starboard	1	
abeam to	1	
abort	1	abort
about	27	
abracadab	1	
absolutely	1	
absolutely against	1	
absolutely at	1	
absolutely chuck	1	
absorb	1	absorb
abstract	2	abstract
abstract to	2	
accompany	1	accompany
accuse	5	accuse
accuse for	1	
accuse with	2	
achieve	2	achieve
achieveme	3	
acqu	4	
acquire	2	acquire
acquire flight	1	
acquire from	2	
acquire inventory	2	
acquire off	2	
acquire with	2	
act	3	act
act like	1	
act with	1	
acti	1	
actions	2	
actions off	2	
actions on	2	
activa	9	
activa over	1	
activate	14	activate
activate for	1	
activate in	1	
activate to	1	
activate with	1	
actors	1	
add	2	add
add to	1	add to
addres	2	
address	2	address
adju	1	
adjust	37	adjust
adjust clock	1	
adjust fire	5	
adjust in	2	
adjust off	1	
adjust on	5	
adjust time	1	
adjust to	31	
adjust using	2	
adjust with	6	
admire	3	admire
adrihug	1	
adriunloc	1	
advanc	5	
advanc around	3	
advanc behind	2	
advanc down	3	
advanc in	3	
advanc off	1	
advanc on	3	
advanc out	2	
advanc over	3	
advanc throug	3	
advanc to	3	
advanc under	2	
advanc up	3	
advance	5	advance
advance around	4	
advance away	3	
advance behind	4	
advance down	4	
advance from	3	
advance in	4	
advance off	1	
advance on	4	
advance out	4	
advance over	4	
advance past	1	
advance through	4	
advance to	4	
advance under	4	
advance up	4	
advise	2	advise
advise about	2	
affirm	7	affirm
affirmati	5	
affix	1	affix
affix on	1	
affix onto	1	
affix to	1	
aft	1	
aftermath	1	
aftern	2	
afternoon	1	
again	12	
agitate	1	agitate
agitate with	1	
ahchoo	1	
aid	8	aid
aid out	1	
aid to	1	
aim	22	aim
aim at	20	
aim from	1	
aim in	5	
aim on	6	
aim out	1	
aim to	15	
aim with	7	
aimfiz	1	
aimfiz to	1	
air	1	air
air away	1	
air in	1	
air off	1	
air up	1	
air with	1	
all	1	
all topic	1	
all topics	1	
alldesc	1	
almaviva	1	
alter	1	alter
alter at	1	
alter for	1	
alter to	1	
ambulate	1	ambulate
ambulate down	1	
ambulate in	1	
ambulate inside	1	
ambulate into	1	
ambulate of	1	
ambulate off	1	
ambulate on	1	
ambulate onto	1	
ambulate out	1	
ambulate over	1	
ambulate through	1	
ambulate up	1	
anagram	1	anagram
analys	4	
analys for	4	
analys in	2	
analys off	2	
analys on	3	
analys out	2	
analys under	2	
analyz	6	
analyz for	5	
analyz in	3	
analyz off	2	
analyz on	4	
analyz out	2	
analyz under	2	
angarithe	1	
angel	1	
angels	1	
angels horseback	1	
angels on	1	
anghofio	1	
angle	1	angle
annihilat	1	
annihilat down	1	
annihilat with	1	
annoy	1	annoy
answ	1	
answer	64	answer
answer angarithe	1	
answer at	3	
answer body	1	
answer bye	2	
answer cheerio	2	
answer countess	1	
answer death	1	
answer farewell	2	
answer ferdinand	1	
answer girl	1	
answer goodbye	2	
answer hello	2	
answer hi	2	
answer ialdabaol	2	
answer matilda	1	
answer me	1	
answer myself	1	
answer onegin	1	
answer outerica	1	
answer plugh	1	
answer red	1	
answer tango	1	
answer the	1	
answer to	36	
answer waltz	1	
answer with	3	
answer xyzzy	2	
answer you	1	
answer yourself	1	
apolog	1	
apolog to	1	
apologise	3	apologise
apologise to	2	
apologiz	1	
apologiz to	1	
apologize	3	apologize
apologize to	2	
append	1	append
append to	1	
appl	3	
applau	5	
applaud	3	applaud
apply	27	apply
apply on	2	
apply onto	1	
apply pressure	1	
apply to	26	
appointme	1	
apprec	1	
appreciat	1	
approa	7	
approach	11	approach
approach crabs	1	
aragon	1	
argh	1	
argue	2	argue
arl	1	
arm	2	arm
arouse	3	arouse
arr	3	
arr at	2	
arrest	10	arrest
arrest for	5	
arrr	2	
arrr at	2	
arrrr	2	
arrrr at	2	
art	1	
asc	1	
asce	8	
ascend	11	ascend
ascend by	1	
ascend down	1	
ascend in	1	
ascend on	1	
ascend over	1	
ascend through	1	
ascend to	1	
ascend up	1	
ascii	1	
ascii off	1	
ascii on	1	
aside	1	
ask	87	ask
ask about	62	
ask for	61	ask for
ask how	2	
ask if	2	
ask on	11	
ask that	2	
ask to	5	
ask updog	1	
ask what	2	
ask when	2	
ask where	2	
ask who	2	
assail	1	assail
assail with	1	
assaul	10	
assaul off	2	
assaul with	8	
assault	7	assault
assault with	7	
assemble	1	assemble
assist	1	assist
att	6	
atta	22	
attach	64	attach
attach around	15	
attach before	1	
attach honda	1	
attach in	5	
attach lariat	1	
attach lasso	1	
attach loop	1	
attach on	4	
attach onto	1	
attach reata	1	
attach riata	1	
attach to	63	attach to
attach togeth	2	
attach together	5	
attach up	21	
attach with	20	
attack	70	attack
attack against	1	
attack back	1	
attack by	1	
attack down	1	
attack in	2	
attack into	1	
attack laughter	1	
attack off	2	
attack through	1	
attack using	2	
attack with	51	
attempt	1	attempt
attempt password	1	
attend	2	attend
attend to	2	attend to
attrac	2	
attrac with	2	
attract	1	attract
attract with	1	
attune	2	attune
attune with	1	
audience	1	
aulderfoo	1	
aut	8	
author	4	author
auto	31	
auto da	1	
auto fe	1	
auto play	1	
auto-da-f	1	
auto-play	1	
autoplay	1	
avaunt	1	
avoid	2	avoid
awak	3	
awake	69	awake
awake up	68	
